pkey,HRYEAR4,PWSSWGT,n_y1_teach,n_y2_obs,n_y2_nonsummer,leaver
009054139240810|79001|2|24059,2005,1860.9863,2,4.0,4.0,0
042332540999395|79001|2|24060,2005,2054.5925,1,4.0,4.0,0
106907642992874|79001|2|24061,2005,1518.1376,4,4.0,4.0,1
293925107054416|79001|2|24060,2005,1900.6112,3,4.0,4.0,0
298946305064487|79001|3|24061,2005,1809.8103,4,4.0,4.0,1
320407912190182|79001|2|24058,2005,1346.7972,1,4.0,4.0,0
320407944462688|79001|2|24058,2005,1708.0227,1,1.0,1.0,0
420409943145893|79001|1|24059,2005,1753.284,2,4.0,4.0,0
420409943145893|79001|2|24059,2005,1754.2264,2,4.0,4.0,0
438276249400864|79001|1|24058,2005,1542.3195,1,4.0,4.0,0
442727045908393|79001|1|24060,2005,1617.8466,3,4.0,4.0,0
449380644580932|79001|3|24058,2005,1946.2783,1,1.0,1.0,1
542139094909078|79261|1|24059,2005,2124.5503,2,4.0,4.0,0
663291939400937|79001|2|24061,2005,1720.271,4,4.0,4.0,0
791044889269270|79001|1|24061,2005,1758.4773,4,2.0,2.0,0
844839840457206|79001|2|24059,2005,1839.9875,2,4.0,4.0,0
920740076323409|79001|1|24058,2005,1348.5719,1,4.0,4.0,1
920740076323409|79001|2|24058,2005,1682.4277,1,4.0,4.0,0
550942095923929|79001|1|24058,2005,1195.7212,1,4.0,4.0,0
304703492998324|79001|1|24059,2005,1702.4984,2,1.0,1.0,0
542277249400955|79001|2|24059,2005,1765.1697,2,4.0,4.0,0
292903203010515|79001|2|24058,2005,3344.0088,1,4.0,4.0,0
710951099923729|79001|1|24058,2005,3218.8977,1,4.0,4.0,0
033532550991298|79001|2|24060,2005,3101.725,3,4.0,4.0,0
265295939520977|79021|1|24061,2005,3100.5105,4,4.0,4.0,0
291925306041588|79001|1|24060,2005,3028.7375,3,4.0,4.0,1
292913403065566|79001|1|24058,2005,2742.0642,1,4.0,4.0,0
298925608017538|79001|2|24060,2005,2817.1038,3,4.0,4.0,0
320509913127584|79001|1|24058,2005,4021.798,1,4.0,4.0,0
320509913127584|79001|2|24058,2005,3396.9595,1,4.0,4.0,1
320509960492380|79001|1|24058,2005,3208.1921,1,4.0,4.0,0
320509993570185|79001|2|24058,2005,3208.1921,1,4.0,4.0,1
503906132696425|79001|2|24058,2005,2968.8142,1,4.0,4.0,0
505904502894465|79001|2|24060,2005,2852.7754,3,4.0,4.0,0
935297039500815|79001|2|24058,2005,3563.5735,1,4.0,4.0,0
973075729239540|79001|1|24058,2005,2935.7393,1,4.0,4.0,0
207013709013561|79001|2|24058,2005,3563.5735,1,4.0,4.0,0
910954099323609|79001|2|24058,2005,3394.618,1,4.0,4.0,0
