code,label,n_asec_PEIOOCC,n_monthly_2005_07
4710,First-Line supervisors of non-retail sales workers,5870.0,22584.0
4720,Cashiers,16148.0,55448.0
4740,Counter and rental clerks,455.0,2858.0
4750,Parts salespersons,678.0,2339.0
4760,Retail salespersons,14852.0,57565.0
4800,Advertising sales agents,791.0,3712.0
4810,Insurance sales agents,3001.0,9085.0
4820,"Securities, commodities, and financial services sales agents",988.0,6116.0
4830,Travel agents,354.0,1587.0
4840,"Sales representatives of services, except advertising, insurance, financial services, and travel",2534.0,8781.0
4850,"Sales representatives, wholesale and manufacturing",5685.0,22909.0
4900,"Models, demonstrators, and product promoters",243.0,1314.0
4920,Real estate brokers and sales agents,4937.0,16875.0
4930,Sales engineers,194.0,609.0
4940,Telemarketers,247.0,3320.0
4950,"Door-to-door sales workers, news and street vendors, and related workers",675.0,5057.0
4960,,,3921.0
4965,"Sales and related workers, all other",1598.0,
5000,First-Line supervisors of office and administrative support workers,6710.0,26747.0
5010,"Switchboard operators, including answering service",82.0,906.0
5020,Telephone operators,149.0,880.0
5030,(sin etiqueta limpia — código SOC 43-2099),22.0,169.0
5040,"Communications equipment operators, all other",8.0,
5100,Bill and account collectors,577.0,3590.0
5110,Billing and posting clerks,2244.0,7133.0
5120,"Bookkeeping, accounting, and auditing clerks",5922.0,26581.0
5130,Gambling cage workers,37.0,312.0
5140,Payroll and timekeeping clerks,654.0,2849.0
5150,Procurement clerks,140.0,499.0
5160,Tellers,1464.0,7588.0
5165,"Financial clerks, all other",541.0,
5200,Brokerage clerks,16.0,174.0
5210,Correspondence clerks,,154.0
5220,"Court, municipal, and license clerks",476.0,1835.0
5230,"Credit authorizers, checkers, and clerks",211.0,953.0
5240,Customer service representatives,12944.0,32172.0
5250,"Eligibility interviewers, government programs",396.0,1143.0
5260,File clerks,858.0,6550.0
5300,"Hotel, motel, and resort desk clerks",656.0,2351.0
5310,"Interviewers, except eligibility and loan",903.0,2785.0
