HRMONTH,teacher_0,teacher_1,employed_0,employed_1,PWSSWGT_0
4,0,0,0,0,1043.2511
4,0,0,1,1,1549.3834
4,0,0,0,0,1690.1839
4,0,0,0,0,1537.3043
4,0,0,1,0,2259.7773
4,0,0,1,0,1409.6448
4,0,0,1,0,1605.4487
4,0,0,0,1,1547.5011
4,0,0,1,1,1913.6514
4,0,0,0,0,1075.6917
4,0,0,0,0,860.6127
4,0,0,1,1,1144.462
4,0,0,1,1,1317.157
4,0,0,1,0,959.7536
4,1,0,1,1,891.6842
4,0,0,1,1,1130.5107
4,0,0,0,0,788.2582
4,0,0,0,0,661.399
4,0,0,0,1,1565.2086
4,0,0,1,1,1423.8942
4,0,0,1,1,1631.1844
4,0,0,0,0,661.399
4,0,0,0,0,858.5613
4,1,1,1,1,883.0052
4,0,0,0,0,793.7135
4,0,0,1,1,1147.1825
4,0,0,1,1,862.6585
4,0,0,0,0,814.0346
4,0,0,1,1,1291.3041
4,0,0,1,1,1088.1705
4,0,0,0,0,925.9396
4,0,0,1,1,1039.0982
4,0,0,1,1,862.6585
4,0,0,1,1,1320.2881
4,0,0,1,1,1132.6551
4,0,0,0,0,1043.5992
4,0,0,0,0,889.7353
4,0,0,0,0,3638.1792
